1	0.140533	0.153407
10	0.207037	0.216452
1	3.76815	3.77009
10	3.44787	3.44977
1	3.76815	3.77009
10	3.44787	3.44977
1	4.51731	4.51764
10	6.77597	6.77647
1	3.80486	3.80826
10	3.54365	3.54702
1	3.80486	3.80826
10	3.54365	3.54702
1	3.80486	3.80826
10	3.54365	3.54702
1	3.80486	3.80826
10	3.54365	3.54702
1	0.991377	0.995944
10	0.993678	0.99829
1	0.0610423	0.0743877
10	0.0576698	0.0725888
1	0.0707355	0.0772129
10	0.0715262	0.0784749
1	0.174974	0.185995
10	0.202581	0.212389
1	-nan	-nan
10	-nan	-nan
1	0.0707355	0.0772129
10	0.0715262	0.0784749
1	0.0707355	0.0772129
10	0.0715262	0.0784749
