# Mass	Unpol_0	Unpol_1	Opt_0	Opt_1	H20_0	H20_1
1	nan	nan	0.00587636	0.0278454	0.04591	0.11891
10	nan	nan	0.00447443	0.0245002	0.04581	0.11501
100	nan	nan	0.00338375	0.020542	0.04401	0.11011
200	nan	nan	0.00412184	0.0220908	0.04521	0.11191
400	nan	nan	0.00708262	0.0245942	0.04281	0.11021
500	nan	nan	0.00647115	0.0222676	0.04151	0.10471
700	nan	nan	0.00415054	0.0154607	0.03641	0.09301
800	nan	nan	nan	nan	0.03291	0.07991
#950	nan	nan	0.00547207	0.00681423	0.05811	0.09591
1000	nan	nan	0.0137374	-nan	0.02861	0.07331
1050	nan	nan	0.0211139	0.0330007	0.03021	0.07581
1150	nan	nan	0.0209656	0.0487696	0.03931	0.09891
1250	nan	nan	0.0451477	0.0853343	0.04741	0.12001
1350	nan	nan	0.0613875	0.11695	0.05621	0.14131
1500	nan	nan	0.075934	0.158657	0.06821	0.17011
1750	nan	nan	0.129484	0.257737	0.08371	0.20891
2000	nan	nan	0.141886	0.333018	0.09631	0.23791
3000	nan	nan	0.154328	0.620718	0.13201	0.33161
4000	nan	nan	0.200226	0.977273	0.17711	0.42081
5000	nan	nan	0.221083	1.27161	0.18331	0.50781
7000	nan	nan	0.246236	1.68093	0.39571	0.63291
10000	nan	nan	0.18612	1.40888	0.27541	0.68221
