# Mass	Unpol_0	Unpol_1	Opt_0	Opt_1	H20_0	H20_1
1	0.0281445	0.0855696	0.0171558	0.0476685	0.0206603	0.0432845
10	0.0294717	0.0896048	0.0180138	0.0500523	0.0217189	0.0456022
100	0.0301244	0.0915893	0.0183917	0.0511024	0.0221692	0.0465058
200	0.0277768	0.0844515	0.0170575	0.0473953	0.0205533	0.0431029
400	0.0237049	0.0720714	0.0145734	0.040493	0.0175617	0.0368172
500	0.021631	0.0657661	0.013324	0.0370215	0.0160578	0.0336836
700	0.0173208	0.0526615	0.0105858	0.0294134	0.012756	0.0267771
800	0.0154664	0.0470234	0.00941949	0.0261726	0.0113587	0.0238487
900	0.0152105	0.0462455	0.00933479	0.0259373	0.0112565	0.023617
950	0.016472	0.0500808	0.0100285	0.0278648	0.0120963	0.025374
1000	0.0190493	0.0579168	0.011678	0.0324481	0.0140701	0.0294867
1050	0.0230033	0.0699384	0.0141573	0.039337	0.0170565	0.0357231
1150	0.0338942	0.103051	0.0208241	0.0578609	0.0250806	0.0525352
1250	0.0469907	0.142869	0.0289037	0.0803106	0.0348276	0.0729662
1350	0.0617638	0.187784	0.0378224	0.105092	0.0455876	0.0955226
1500	0.0865413	0.263117	0.0527171	0.146478	0.0635634	0.133437
1650	0.113836	0.346103	0.0697641	0.193844	0.0840582	0.176095
1750	0.133145	0.40481	0.0813589	0.226061	0.0981034	0.205857
2000	0.186862	0.568128	0.115215	0.320131	0.138724	0.290498
3000	0.474713	1.4433	0.29183	0.810867	0.351669	0.738145
4000	0.878367	2.67055	0.537671	1.49395	0.648276	1.35977
5000	1.39878	4.2528	0.860199	2.39012	1.03604	2.17308
7000	2.79027	8.48344	1.71179	4.75633	2.06257	4.3248
10000	5.73939	17.4498	3.52496	9.79432	4.25086	8.94112
