#         x                   y                  yerr                xerr
   1.000000000000e+00  4.096288718092e+03  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+01  3.664828224891e+03  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+02  3.472498168768e+03  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+02  3.401047598797e+03  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+03  3.318327878246e+03  0.000000000000e+00  0.000000000000e+00
   2.000000000000e+03  3.120386182502e+03  0.000000000000e+00  0.000000000000e+00
   2.500000000000e+03  3.115837428681e+03  0.000000000000e+00  0.000000000000e+00
   2.750000000000e+03  2.883123007051e+03  0.000000000000e+00  0.000000000000e+00
   2.950000000000e+03  2.465632578021e+03  0.000000000000e+00  0.000000000000e+00
   3.000000000000e+03  2.343860239784e+03  0.000000000000e+00  0.000000000000e+00
   3.050000000000e+03  2.225207924644e+03  0.000000000000e+00  0.000000000000e+00
   3.200000000000e+03  1.916193945103e+03  0.000000000000e+00  0.000000000000e+00
   3.500000000000e+03  1.575100074054e+03  0.000000000000e+00  0.000000000000e+00
   4.200000000000e+03  1.342043349296e+03  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+03  1.283925625815e+03  0.000000000000e+00  0.000000000000e+00
   7.000000000000e+03  1.246819678944e+03  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+04  1.242721249330e+03  0.000000000000e+00  0.000000000000e+00
