#         x                   y                  yerr                xerr
   1.000000000000E+00  1.435845790915E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+01  1.392108541984E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+02  1.363152283525E+04  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+02  1.507661321229E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+03  1.569967807810E+04  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+03  1.598847676844E+04  0.000000000000E+00  0.000000000000E+00
   2.500000000000E+03  1.728941133753E+04  0.000000000000E+00  0.000000000000E+00
   2.750000000000E+03  1.873360622281E+04  0.000000000000E+00  0.000000000000E+00
   2.950000000000E+03  1.868595850806E+04  0.000000000000E+00  0.000000000000E+00
   3.000000000000E+03  1.766661366907E+04  0.000000000000E+00  0.000000000000E+00
   3.050000000000E+03  1.632235788268E+04  0.000000000000E+00  0.000000000000E+00
   3.200000000000E+03  1.356547122248E+04  0.000000000000E+00  0.000000000000E+00
   3.500000000000E+03  1.196173012758E+04  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+03  1.102403326775E+04  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+03  1.083917281250E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+04  1.079395626117E+04  0.000000000000E+00  0.000000000000E+00
