#         x                   y                  yerr                xerr
   1.000000000000E+00  2.885190139132E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+01  2.430662924343E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+02  2.089091241360E+03  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+02  2.234516136421E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+03  2.118074610555E+03  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+03  1.916256505361E+03  0.000000000000E+00  0.000000000000E+00
   2.500000000000E+03  1.888430303051E+03  0.000000000000E+00  0.000000000000E+00
   2.750000000000E+03  1.638921905952E+03  0.000000000000E+00  0.000000000000E+00
   2.950000000000E+03  1.197712659528E+03  0.000000000000E+00  0.000000000000E+00
   3.000000000000E+03  1.073562602709E+03  0.000000000000E+00  0.000000000000E+00
   3.050000000000E+03  9.546305533034E+02  0.000000000000E+00  0.000000000000E+00
   3.200000000000E+03  6.517541072410E+02  0.000000000000E+00  0.000000000000E+00
   3.500000000000E+03  3.100067370251E+02  0.000000000000E+00  0.000000000000E+00
   4.200000000000E+03  8.536785970026E+01  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+03  3.105747084736E+01  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+03  5.907550639843E+00  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+04  1.226938116520E+00  0.000000000000E+00  0.000000000000E+00
