#         x                   y                  yerr                xerr
   1.000000000000e+00  1.071902268112e+05  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+01  9.828223675726e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+02  1.026595155308e+05  0.000000000000e+00  0.000000000000e+00
   2.000000000000e+02  1.489102584718e+05  0.000000000000e+00  0.000000000000e+00
   2.500000000000e+02  2.111017672664e+05  0.000000000000e+00  0.000000000000e+00
   3.000000000000e+02  3.585435569262e+05  0.000000000000e+00  0.000000000000e+00
   3.200000000000e+02  4.727276945639e+05  0.000000000000e+00  0.000000000000e+00
   3.600000000000e+02  5.842677667298e+05  0.000000000000e+00  0.000000000000e+00
   3.650000000000e+02  4.887796598346e+05  0.000000000000e+00  0.000000000000e+00
   3.700000000000e+02  3.871923231844e+05  0.000000000000e+00  0.000000000000e+00
   4.000000000000e+02  1.032040909795e+05  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+02  1.846993106835e+04  0.000000000000e+00  0.000000000000e+00
   6.000000000000e+02  1.066205542480e+04  0.000000000000e+00  0.000000000000e+00
   7.000000000000e+02  8.428349844286e+03  0.000000000000e+00  0.000000000000e+00
   8.000000000000e+02  7.457214758965e+03  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+03  6.684070952942e+03  0.000000000000e+00  0.000000000000e+00
   2.000000000000e+03  6.010233099867e+03  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+03  5.885382904553e+03  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+04  5.874371871309e+03  0.000000000000e+00  0.000000000000e+00
