#         x                   y                  yerr                xerr
   1.000000000000E+00  1.294992412843E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+01  1.097896443419E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+02  9.350333287674E+03  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+02  9.235494772755E+03  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+02  1.065623086621E+04  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+02  1.231032064192E+04  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+02  1.827681316945E+04  0.000000000000E+00  0.000000000000E+00
   8.000000000000E+02  2.170704316267E+04  0.000000000000E+00  0.000000000000E+00
   9.000000000000E+02  2.136697134665E+04  0.000000000000E+00  0.000000000000E+00
   9.500000000000E+02  1.798653217533E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+03  1.325053571107E+04  0.000000000000E+00  0.000000000000E+00
   1.050000000000E+03  9.041024858644E+03  0.000000000000E+00  0.000000000000E+00
   1.150000000000E+03  4.189293856012E+03  0.000000000000E+00  0.000000000000E+00
   1.250000000000E+03  2.191590395369E+03  0.000000000000E+00  0.000000000000E+00
   1.350000000000E+03  1.276513554009E+03  0.000000000000E+00  0.000000000000E+00
   1.500000000000E+03  6.589930946291E+02  0.000000000000E+00  0.000000000000E+00
   1.650000000000E+03  3.816182272890E+02  0.000000000000E+00  0.000000000000E+00
   1.750000000000E+03  2.783943334753E+02  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+03  1.413503694114E+02  0.000000000000E+00  0.000000000000E+00
   3.000000000000E+03  2.196014606070E+01  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+03  6.435043540121E+00  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+03  2.543362391424E+00  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+03  6.434588573093E-01  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+04  1.522875747724E-01  0.000000000000E+00  0.000000000000E+00
