#       x                   y                  yerr                xerr
   1.000000000000e+00  2.214188096008e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+01  2.011347320921e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+02  1.922082959261e+04  0.000000000000e+00  0.000000000000e+00
   2.000000000000e+02  1.976861819505e+04  0.000000000000e+00  0.000000000000e+00
   4.000000000000e+02  2.390317076764e+04  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+02  2.829643563469e+04  0.000000000000e+00  0.000000000000e+00
   7.000000000000e+02  4.942244796503e+04  0.000000000000e+00  0.000000000000e+00
   8.000000000000e+02  7.154909291108e+04  0.000000000000e+00  0.000000000000e+00
   9.500000000000e+02  1.088440762066e+05  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+03  6.889948443765e+04  0.000000000000e+00  0.000000000000e+00
   1.050000000000e+03  2.714905701501e+04  0.000000000000e+00  0.000000000000e+00
   1.150000000000e+03  7.137376987840e+03  0.000000000000e+00  0.000000000000e+00
   1.250000000000e+03  3.061552328004e+03  0.000000000000e+00  0.000000000000e+00
   1.350000000000e+03  1.638235894523e+03  0.000000000000e+00  0.000000000000e+00
   1.500000000000e+03  7.912307009864e+02  0.000000000000e+00  0.000000000000e+00
   1.750000000000e+03  3.201374913904e+02  0.000000000000e+00  0.000000000000e+00
   2.000000000000e+03  1.588912464982e+02  0.000000000000e+00  0.000000000000e+00
   3.000000000000e+03  2.404401083655e+01  0.000000000000e+00  0.000000000000e+00
   4.000000000000e+03  7.007418041849e+00  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+03  2.759977117742e+00  0.000000000000e+00  0.000000000000e+00
   7.000000000000e+03  6.965462901938e-01  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+04  1.646160845140e-01  0.000000000000e+00  0.000000000000e+00
