#       x                   y                  yerr                xerr
   1.000000000000e+00  1.355404324143e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+01  1.234978528260e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+02  1.177748871902e+04  0.000000000000e+00  0.000000000000e+00
   2.000000000000e+02  1.212578469091e+04  0.000000000000e+00  0.000000000000e+00
   4.000000000000e+02  1.463847212247e+04  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+02  1.734124725559e+04  0.000000000000e+00  0.000000000000e+00
   7.000000000000e+02  3.024962084325e+04  0.000000000000e+00  0.000000000000e+00
   8.000000000000e+02  4.386673293977e+04  0.000000000000e+00  0.000000000000e+00
   9.500000000000e+02  6.676063538096e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+03  4.229597934248e+04  0.000000000000e+00  0.000000000000e+00
   1.050000000000e+03  1.662658136234e+04  0.000000000000e+00  0.000000000000e+00
   1.150000000000e+03  4.366988545533e+03  0.000000000000e+00  0.000000000000e+00
   1.250000000000e+03  1.880435157768e+03  0.000000000000e+00  0.000000000000e+00
   1.350000000000e+03  1.002832272978e+03  0.000000000000e+00  0.000000000000e+00
   1.500000000000e+03  4.854997452102e+02  0.000000000000e+00  0.000000000000e+00
   1.750000000000e+03  1.958207170841e+02  0.000000000000e+00  0.000000000000e+00
   2.000000000000e+03  9.736588521808e+01  0.000000000000e+00  0.000000000000e+00
   3.000000000000e+03  1.475481956868e+01  0.000000000000e+00  0.000000000000e+00
   4.000000000000e+03  4.294361919755e+00  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+03  1.692336502713e+00  0.000000000000e+00  0.000000000000e+00
   7.000000000000e+03  4.267045204068e-01  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+04  1.007236805964e-01  0.000000000000e+00  0.000000000000e+00
