#         x                   y                  yerr                xerr
   1.000000000000E+00  7.940722426692E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+01  6.723796364334E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+02  5.729690373909E+03  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+02  5.661098532245E+03  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+02  6.534053333825E+03  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+02  7.547158153032E+03  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+02  1.120551451914E+04  0.000000000000E+00  0.000000000000E+00
   8.000000000000E+02  1.331248433502E+04  0.000000000000E+00  0.000000000000E+00
   9.000000000000E+02  1.309959887924E+04  0.000000000000E+00  0.000000000000E+00
   9.500000000000E+02  1.099644027329E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+03  8.123307302391E+03  0.000000000000E+00  0.000000000000E+00
   1.050000000000E+03  5.550621455980E+03  0.000000000000E+00  0.000000000000E+00
   1.150000000000E+03  2.568759742070E+03  0.000000000000E+00  0.000000000000E+00
   1.250000000000E+03  1.340079796987E+03  0.000000000000E+00  0.000000000000E+00
   1.350000000000E+03  7.826357980208E+02  0.000000000000E+00  0.000000000000E+00
   1.500000000000E+03  4.033023140915E+02  0.000000000000E+00  0.000000000000E+00
   1.650000000000E+03  2.337989667114E+02  0.000000000000E+00  0.000000000000E+00
   1.750000000000E+03  1.707074500865E+02  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+03  8.672023948169E+01  0.000000000000E+00  0.000000000000E+00
   3.000000000000E+03  1.343900653822E+01  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+03  3.945611849919E+00  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+03  1.560894554927E+00  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+03  3.940679141076E-01  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+04  9.316468865148E-02  0.000000000000E+00  0.000000000000E+00
