#         x                   y                  yerr                xerr
   1.000000000000E+00  1.044352415401E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+01  8.829155387299E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+02  7.530036777799E+03  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+02  7.459725657271E+03  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+02  8.595905269704E+03  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+02  9.925722187252E+03  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+02  1.473747967819E+04  0.000000000000E+00  0.000000000000E+00
   8.000000000000E+02  1.754527810904E+04  0.000000000000E+00  0.000000000000E+00
   9.000000000000E+02  1.719453445997E+04  0.000000000000E+00  0.000000000000E+00
   9.500000000000E+02  1.451529107930E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+03  1.069514069386E+04  0.000000000000E+00  0.000000000000E+00
   1.050000000000E+03  7.293365105300E+03  0.000000000000E+00  0.000000000000E+00
   1.150000000000E+03  3.381043445058E+03  0.000000000000E+00  0.000000000000E+00
   1.250000000000E+03  1.766145371856E+03  0.000000000000E+00  0.000000000000E+00
   1.350000000000E+03  1.027746460614E+03  0.000000000000E+00  0.000000000000E+00
   1.500000000000E+03  5.300235674981E+02  0.000000000000E+00  0.000000000000E+00
   1.650000000000E+03  3.077675287662E+02  0.000000000000E+00  0.000000000000E+00
   1.750000000000E+03  2.243830808638E+02  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+03  1.138598078427E+02  0.000000000000E+00  0.000000000000E+00
   3.000000000000E+03  1.770900669195E+01  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+03  5.185824194425E+00  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+03  2.054590514449E+00  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+03  5.199952564680E-01  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+04  1.227558323403E-01  0.000000000000E+00  0.000000000000E+00
