#         x                   y                  yerr                xerr
   1.000000000000E+00  9.249656697297E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+01  8.037677967200E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+02  7.305730812081E+03  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+02  6.918246511723E+03  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+02  7.733349914977E+03  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+02  8.695306453021E+03  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+02  1.233247200270E+04  0.000000000000E+00  0.000000000000E+00
   8.000000000000E+02  1.453973304758E+04  0.000000000000E+00  0.000000000000E+00
   9.000000000000E+02  1.456821756569E+04  0.000000000000E+00  0.000000000000E+00
   9.500000000000E+02  1.267261719173E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+03  9.893672232221E+03  0.000000000000E+00  0.000000000000E+00
   1.050000000000E+03  7.331320051937E+03  0.000000000000E+00  0.000000000000E+00
   1.150000000000E+03  4.331610342747E+03  0.000000000000E+00  0.000000000000E+00
   1.250000000000E+03  3.056613879967E+03  0.000000000000E+00  0.000000000000E+00
   1.350000000000E+03  2.455559829209E+03  0.000000000000E+00  0.000000000000E+00
   1.500000000000E+03  2.037467075399E+03  0.000000000000E+00  0.000000000000E+00
   1.650000000000E+03  1.853146884749E+03  0.000000000000E+00  0.000000000000E+00
   1.750000000000E+03  1.773236877762E+03  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+03  1.669308296678E+03  0.000000000000E+00  0.000000000000E+00
   3.000000000000E+03  1.564770702869E+03  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+03  1.545173290260E+03  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+03  1.544274444487E+03  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+03  1.536353136735E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+04  1.533762755091E+03  0.000000000000E+00  0.000000000000E+00
