#         x                   y                  yerr                xerr
   1.000000000000E+00  2.081888098345E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+01  1.880516025131E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+02  1.637338996130E+04  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+02  1.696087555327E+04  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+02  1.800363204355E+04  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+02  1.938592524400E+04  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+02  2.545861320252E+04  0.000000000000E+00  0.000000000000E+00
   8.000000000000E+02  3.041626303982E+04  0.000000000000E+00  0.000000000000E+00
   9.000000000000E+02  3.379429612236E+04  0.000000000000E+00  0.000000000000E+00
   9.500000000000E+02  3.264929960987E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+03  2.941022898204E+04  0.000000000000E+00  0.000000000000E+00
   1.050000000000E+03  2.571304379193E+04  0.000000000000E+00  0.000000000000E+00
   1.150000000000E+03  2.049002378993E+04  0.000000000000E+00  0.000000000000E+00
   1.250000000000E+03  1.774381852984E+04  0.000000000000E+00  0.000000000000E+00
   1.350000000000E+03  1.627424091265E+04  0.000000000000E+00  0.000000000000E+00
   1.500000000000E+03  1.506442898748E+04  0.000000000000E+00  0.000000000000E+00
   1.650000000000E+03  1.442680207995E+04  0.000000000000E+00  0.000000000000E+00
   1.750000000000E+03  1.413584952711E+04  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+03  1.367080956406E+04  0.000000000000E+00  0.000000000000E+00
   3.000000000000E+03  1.307115588155E+04  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+03  1.289201019774E+04  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+03  1.283747401145E+04  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+03  1.276318554826E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+04  1.272963841084E+04  0.000000000000E+00  0.000000000000E+00
