#         x                   y                  yerr                xerr
   1.000000000000E+00  2.152017701007E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+01  1.991433532239E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+02  1.906293623873E+04  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+02  1.954903231126E+04  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+02  2.253522055227E+04  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+02  2.602412635425E+04  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+02  4.236980808519E+04  0.000000000000E+00  0.000000000000E+00
   8.000000000000E+02  6.043449878062E+04  0.000000000000E+00  0.000000000000E+00
   9.000000000000E+02  8.748436069381E+04  0.000000000000E+00  0.000000000000E+00
   9.500000000000E+02  9.457430389172E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+03  6.520546201451E+04  0.000000000000E+00  0.000000000000E+00
   1.050000000000E+03  3.109954169800E+04  0.000000000000E+00  0.000000000000E+00
   1.150000000000E+03  1.348394576735E+04  0.000000000000E+00  0.000000000000E+00
   1.250000000000E+03  9.499128965326E+03  0.000000000000E+00  0.000000000000E+00
   1.350000000000E+03  7.970829709469E+03  0.000000000000E+00  0.000000000000E+00
   1.500000000000E+03  6.968501218977E+03  0.000000000000E+00  0.000000000000E+00
   1.650000000000E+03  6.476597534028E+03  0.000000000000E+00  0.000000000000E+00
   1.750000000000E+03  6.278071238215E+03  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+03  6.018807127774E+03  0.000000000000E+00  0.000000000000E+00
   3.000000000000E+03  5.678916113283E+03  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+03  5.608533076865E+03  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+03  5.576780351979E+03  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+03  5.542831903421E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+04  5.543404329745E+03  0.000000000000E+00  0.000000000000E+00
