#         x                   y                  yerr                xerr
   1.000000000000E+00  1.295326999236E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+01  1.098045455526E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+02  9.336385660183E+03  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+02  9.236104260168E+03  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+02  1.066128940392E+04  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+02  1.230175173836E+04  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+02  1.831692743793E+04  0.000000000000E+00  0.000000000000E+00
   8.000000000000E+02  2.174808545036E+04  0.000000000000E+00  0.000000000000E+00
   9.000000000000E+02  2.133593044658E+04  0.000000000000E+00  0.000000000000E+00
   9.500000000000E+02  1.796781330970E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+03  1.325380411414E+04  0.000000000000E+00  0.000000000000E+00
   1.050000000000E+03  9.043081148564E+03  0.000000000000E+00  0.000000000000E+00
   1.150000000000E+03  4.185811897803E+03  0.000000000000E+00  0.000000000000E+00
   1.250000000000E+03  2.194415090908E+03  0.000000000000E+00  0.000000000000E+00
   1.350000000000E+03  1.275715426221E+03  0.000000000000E+00  0.000000000000E+00
   1.500000000000E+03  6.581349700808E+02  0.000000000000E+00  0.000000000000E+00
   1.650000000000E+03  3.816565116744E+02  0.000000000000E+00  0.000000000000E+00
   1.750000000000E+03  2.785768138129E+02  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+03  1.413490755054E+02  0.000000000000E+00  0.000000000000E+00
   3.000000000000E+03  2.196125232952E+01  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+03  6.443522170326E+00  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+03  2.549772091693E+00  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+03  6.434475794396E-01  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+04  1.521813200396E-01  0.000000000000E+00  0.000000000000E+00
