#         x                   y                  yerr                xerr
   1.000000000000E+00  7.937044227800E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+01  6.733079740092E+03  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+02  5.730812260962E+03  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+02  5.661124356374E+03  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+02  6.538957886478E+03  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+02  7.542093894775E+03  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+02  1.120350784035E+04  0.000000000000E+00  0.000000000000E+00
   8.000000000000E+02  1.333158132642E+04  0.000000000000E+00  0.000000000000E+00
   9.000000000000E+02  1.309061861693E+04  0.000000000000E+00  0.000000000000E+00
   9.500000000000E+02  1.101765522841E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+03  8.129813785087E+03  0.000000000000E+00  0.000000000000E+00
   1.050000000000E+03  5.553087398486E+03  0.000000000000E+00  0.000000000000E+00
   1.150000000000E+03  2.570189484127E+03  0.000000000000E+00  0.000000000000E+00
   1.250000000000E+03  1.342658450857E+03  0.000000000000E+00  0.000000000000E+00
   1.350000000000E+03  7.828174104874E+02  0.000000000000E+00  0.000000000000E+00
   1.500000000000E+03  4.031799327547E+02  0.000000000000E+00  0.000000000000E+00
   1.650000000000E+03  2.342766618515E+02  0.000000000000E+00  0.000000000000E+00
   1.750000000000E+03  1.704035983333E+02  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+03  8.656938913392E+01  0.000000000000E+00  0.000000000000E+00
   3.000000000000E+03  1.346729532889E+01  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+03  3.942679688253E+00  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+03  1.560737351144E+00  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+03  3.945057957267E-01  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+04  9.342893069634E-02  0.000000000000E+00  0.000000000000E+00
