#         x                   y                  yerr                xerr
   1.000000000000E+00  2.338700694210E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+01  2.139581079666E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+02  2.127165071762E+04  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+02  2.099230606232E+04  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+02  2.500787749453E+04  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+02  2.953307898347E+04  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+02  5.045034142247E+04  0.000000000000E+00  0.000000000000E+00
   8.000000000000E+02  7.271107367066E+04  0.000000000000E+00  0.000000000000E+00
   9.500000000000E+02  1.094244941663E+05  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+03  6.968112272975E+04  0.000000000000E+00  0.000000000000E+00
   1.050000000000E+03  2.790487178324E+04  0.000000000000E+00  0.000000000000E+00
   1.150000000000E+03  7.979227475171E+03  0.000000000000E+00  0.000000000000E+00
   1.250000000000E+03  3.940715400081E+03  0.000000000000E+00  0.000000000000E+00
   1.350000000000E+03  2.540517473970E+03  0.000000000000E+00  0.000000000000E+00
   1.500000000000E+03  1.720422970532E+03  0.000000000000E+00  0.000000000000E+00
   1.750000000000E+03  1.266089409097E+03  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+03  1.117255119408E+03  0.000000000000E+00  0.000000000000E+00
   3.000000000000E+03  9.998075755335E+02  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+03  9.890171934075E+02  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+03  9.830998808045E+02  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+03  9.842002086796E+02  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+04  9.855963667809E+02  0.000000000000E+00  0.000000000000E+00
