#         x                   y                  yerr                xerr
   1.000000000000E+00  1.422127803110E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+01  1.226204191221E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+02  1.125726940123E+04  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+02  1.045149674979E+04  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+02  1.182379714364E+04  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+02  1.344194204789E+04  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+02  1.938002532993E+04  0.000000000000E+00  0.000000000000E+00
   8.000000000000E+02  2.274906024705E+04  0.000000000000E+00  0.000000000000E+00
   9.000000000000E+02  2.227150789566E+04  0.000000000000E+00  0.000000000000E+00
   9.500000000000E+02  1.887715061286E+04  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+03  1.414866653333E+04  0.000000000000E+00  0.000000000000E+00
   1.050000000000E+03  9.913160765461E+03  0.000000000000E+00  0.000000000000E+00
   1.150000000000E+03  5.077145334566E+03  0.000000000000E+00  0.000000000000E+00
   1.250000000000E+03  3.095583629991E+03  0.000000000000E+00  0.000000000000E+00
   1.350000000000E+03  2.198455484484E+03  0.000000000000E+00  0.000000000000E+00
   1.500000000000E+03  1.592587899745E+03  0.000000000000E+00  0.000000000000E+00
   1.650000000000E+03  1.326968528819E+03  0.000000000000E+00  0.000000000000E+00
   1.750000000000E+03  1.228980748058E+03  0.000000000000E+00  0.000000000000E+00
   2.000000000000E+03  1.102549719689E+03  0.000000000000E+00  0.000000000000E+00
   3.000000000000E+03  9.976479969231E+02  0.000000000000E+00  0.000000000000E+00
   4.000000000000E+03  9.866342732494E+02  0.000000000000E+00  0.000000000000E+00
   5.000000000000E+03  9.845028636633E+02  0.000000000000E+00  0.000000000000E+00
   7.000000000000E+03  9.861382077343E+02  0.000000000000E+00  0.000000000000E+00
   1.000000000000E+04  9.873879688295E+02  0.000000000000E+00  0.000000000000E+00
