#       x                   y                  yerr                xerr
   1.000000000000e+00  1.352260097286e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+01  1.234918452955e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+02  1.178856485794e+04  0.000000000000e+00  0.000000000000e+00
   2.000000000000e+02  1.212528844272e+04  0.000000000000e+00  0.000000000000e+00
   4.000000000000e+02  1.461788244709e+04  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+02  1.739584464227e+04  0.000000000000e+00  0.000000000000e+00
   7.000000000000e+02  3.024220766870e+04  0.000000000000e+00  0.000000000000e+00
   8.000000000000e+02  4.385165553199e+04  0.000000000000e+00  0.000000000000e+00
   9.500000000000e+02  6.671879676585e+04  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+03  4.224869736679e+04  0.000000000000e+00  0.000000000000e+00
   1.050000000000e+03  1.665410723720e+04  0.000000000000e+00  0.000000000000e+00
   1.150000000000e+03  4.376688403200e+03  0.000000000000e+00  0.000000000000e+00
   1.250000000000e+03  1.873469374916e+03  0.000000000000e+00  0.000000000000e+00
   1.350000000000e+03  1.002598745879e+03  0.000000000000e+00  0.000000000000e+00
   1.500000000000e+03  4.861124080861e+02  0.000000000000e+00  0.000000000000e+00
   1.750000000000e+03  1.961034125015e+02  0.000000000000e+00  0.000000000000e+00
   2.000000000000e+03  9.746902256917e+01  0.000000000000e+00  0.000000000000e+00
   3.000000000000e+03  1.476347825122e+01  0.000000000000e+00  0.000000000000e+00
   4.000000000000e+03  4.292493640519e+00  0.000000000000e+00  0.000000000000e+00
   5.000000000000e+03  1.691089174817e+00  0.000000000000e+00  0.000000000000e+00
   7.000000000000e+03  4.268845474767e-01  0.000000000000e+00  0.000000000000e+00
   1.000000000000e+04  1.007573707806e-01  0.000000000000e+00  0.000000000000e+00
