# Mass	Unpol_0	Unpol_1	Opt_0	Opt_1	H20_0	H20_1
1	nan	nan	0.0374841	0.116236	0.13811	0.29221
10	nan	nan	0.053719	0.13821	0.14191	0.30601
100	nan	nan	0.0440451	0.130742	0.13331	0.28651
500	nan	nan	0.0513844	0.1296	0.14801	0.31361
1000	nan	nan	0.0563591	0.132744	0.17721	0.34521
2000	nan	nan	0.0590206	0.136144	0.22791	0.36681
2500	nan	nan	0.0532932	0.125474	0.23521	0.35361
2750	nan	nan	0.0317183	0.106178	0.17871	0.31661
2950	nan	nan	0.0395318	0.126055	0.17051	0.31791
3000	nan	nan	0.0307152	0.117924	0.14741	0.29471
3050	nan	nan	0.0389415	0.13419	0.15501	0.30651
3200	nan	nan	0.0440057	0.158108	0.15611	0.31641
3500	nan	nan	0.0574744	0.220496	0.16721	0.34751
4200	nan	nan	0.0710427	0.345942	0.22671	0.48241
5000	nan	nan	0.0818693	0.466273	0.23161	0.50711
7000	nan	nan	0.148318	0.913825	0.24431	0.52971
10000	nan	nan	0.159033	1.1185	0.24211	0.52571
