# Mass	Unpol_0	Unpol_1	Opt_0	Opt_1	H20_0	H20_1
1	0.0506332	0.146783	0.0371017	0.101121	0.0388201	0.0990643
10	0.052957	0.153519	0.0383366	0.104487	0.0401437	0.102524
100	0.0530462	0.153778	0.0381541	0.103989	0.0399526	0.102036
500	0.0407663	0.118179	0.0295045	0.0804149	0.0308848	0.07885
1000	0.0375055	0.108726	0.0273455	0.0745306	0.0286174	0.0730418
2000	0.0373589	0.108301	0.0267422	0.0728862	0.027992	0.0714611
2500	0.0310235	0.0899354	0.0224205	0.0611074	0.023468	0.0599111
2750	0.0275975	0.0800035	0.0199038	0.0542481	0.0208351	0.0531931
2950	0.0284677	0.0825261	0.0204676	0.0557847	0.0214272	0.0547096
3000	0.0312949	0.0907219	0.0225339	0.0614163	0.0235912	0.0602374
3050	0.0362191	0.104997	0.025939	0.0706971	0.0271574	0.0693465
3200	0.0569352	0.165052	0.0412911	0.112539	0.0432385	0.11043
3500	0.107443	0.311472	0.0779019	0.212322	0.0815534	0.208227
5000	0.414661	1.20208	0.300543	0.819133	0.314562	0.802986
7000	0.979108	2.83838	0.705439	1.92268	0.73857	1.88593
10000	2.16684	6.28153	1.56554	4.2669	1.63863	4.18375
